System,NodeID,SpeciesID,StageID,Stage,SpeciesID.StageID,WorkingName,OrganismalGroup,NodeType,Resolution,ResolutionNotes,Feeding,Lifestyle(stage),Lifestyle(species),ConsumerStrategy(stage),HabitatAffiliation,Mobility,Residency,NativeStatus,BodySize(g),BodySizeSD,BodySizeN,BodySizeEstimation,BodySizeNotes,Abundance(no./ha),Abundance95%CL,AbundanceDF,Biomass(kg/ha),Biomass95%CL,BiomassDF,BiomassEstimation,BiomassNotes,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Order,Suborder,Infraorder,Superfamily,Family,Genus,SpecificEpithet,NodeNotes
BSQ,145,105,1,adult,105.1,Paracerceis sp.,isopod,taxon,Species,,feeding,free-living,free-living,predator,,low,resident,,0.00271741,0.00289729,9,population,individuals encountered during the random sampling described in Kuris et al. (2008),339059.15,830350.415,4.00355588,1.2246235,3.19352058,4.00016178,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Arthropoda,Crustacea,,Malacostraca,,Isopoda,,,,,Paracerceis,sp.,
BSQ,147,107,1,adult,107.1,staphylinid,beetle,taxon,Species,,feeding,free-living,free-living,predator,,low,resident,,0.00437988,0.00195152,4,population,individuals encountered during the random sampling described in Kuris et al. (2008),18772.86,40831.1057,7.00098888,0.0858238,0.18810164,7.00064876,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Arthropoda,Hexapoda,,,,Coleoptera,,,,Staphylinidae,,,
BSQ,148,108,1,adult,108.1,tanaidacean,tanaidacean,taxon,Species,,feeding,free-living,free-living,detritivore,,low,resident,,0.00062244,,1,population,individuals encountered during the random sampling described in Kuris et al. (2008),74017.41,205505.263,4,0.0460711,0.12791382,4,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Arthropoda,Crustacea,,Malacostraca,,Tanaidacea,,,,,,,
BSQ,149,109,1,adult,109.1,Salt Marsh Hopper,amphipod,taxon,Species,,feeding,free-living,free-living,detritivore,,low,resident,,0.00360519,0.00320614,9,population,individuals encountered during the random sampling described in Kuris et al. (2008),917222.52,1697745.32,4,3.3067643,5.94149537,4,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Arthropoda,Crustacea,,Malacostraca,,Amphipoda,,,,Talitridae,Traskorchestia,traskiana,
BSQ,150,110,1,adult,110.1,Salt Marsh Water Boatman,water boatman,taxon,Species,,feeding,free-living,free-living,predator,,low,resident,,0.00360519,,,approximation,approximated to Traskorchestia traskiana,,,,0.8436648,,,biomass vs. body size relationship,known biomass v. body size relationship across species (Hechinger et al. in prep)),Animalia,Arthropoda,Hexapoda,,,,Hemiptera,,,,Corixidae,Trichocorixia,sp.,
BSQ,151,86,2,larva,86.2,Black Salt Marsh Mosquito,mosquito,life stage,Species,,feeding,free-living,free-living,detritivore,,low,resident,,0.0025,,,species,weight of congener (Koenraadt 2008),,,,,,,,,Animalia,Arthropoda,Hexapoda,,,,Diptera,,,,Culicidae,Aedes,taeniorhynchus,
BSQ,152,90,2,larva,90.2,Western Encephalitis Mosquito,mosquito,life stage,Species,,feeding,free-living,free-living,detritivore,,low,resident,,0.00217,,,species,estimate from literature (Gray & Bradley 2003),,,,,,,,,Animalia,Arthropoda,Hexapoda,,,,Diptera,,,,Culicidae,Culex,tarsalis,
BSQ,154,94,2,larva,94.2,Ephydra,dipteran,life stage,Species,,feeding,free-living,free-living,predator,,low,resident,,0.0449813,,,species,applied CSM body size,212425.13,347365.851,4.00018009,1.2139594,2.14213726,4,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Arthropoda,Hexapoda,,,,Diptera,,,,Ephydridae,,,
BSQ,156,94,3,pupa,94.3,Ephydra,dipteran,life stage,Species,,nonfeeding,free-living,free-living,nonfeeding,,low,resident,,0.0449813,,,species,set equal to mass estimate from CSM,,,,0.016529,,,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Arthropoda,Hexapoda,,,,Diptera,,,,Ephydridae,,,
BSQ,157,111,1,adult,111.1,Calfornia Ghost Shrimp,burrowing shrimp,taxon,Species,,feeding,free-living,free-living,predator,,low,resident,,1.78292219,,1,population,individuals encountered during the random sampling described in Kuris et al. (2008),4950.21,13743.9825,4,8.8258368,24.5044514,4,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Arthropoda,Crustacea,,Malacostraca,,Decapoda,,,,Callianassidae,Neotrypaea,californiensis,
BSQ,160,114,1,adult,114.1,Striped Shore Crab,crab,taxon,Species,,feeding,free-living,free-living,predator,,low,resident,,5.14253495,5.02365786,200,population,individuals encountered during the random sampling described in Kuris et al. (2008),30727.71,48369.3182,4.00003669,143.72957,226.575959,4.00007617,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Arthropoda,Crustacea,,Malacostraca,,Decapoda,,,,Grapsidae,Pachygrapsus,crassipes,
BSQ,164,118,1,adult,118.1,Topsmelt,fish,taxon,Species,,feeding,free-living,free-living,predator,,high,resident,,4.32415193,1.62949591,12,population,individuals encountered during the random sampling described in Kuris et al. (2008),1223.52,1531.04089,4.17973193,5.0419562,12.7319397,4.00000291,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Osteichthyes,,Atheriniformes,,,,Atherinopsidae,Atherinops,affinis,
BSQ,165,119,1,adult,119.1,Arrow Goby,fish,taxon,Species,,feeding,free-living,free-living,predator,,low,resident,,0.42451003,,1,population,individuals encountered during the random sampling described in Kuris et al. (2008),132.08,262.827042,4,0.0560682,0.13044182,4,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Osteichthyes,,Perciformes,,,,Gobiidae,Clevelandia,ios,
BSQ,167,121,1,adult,121.1,California Killifish,fish,taxon,Species,,feeding,free-living,free-living,predator,,high,resident,,5.18153608,17.5975622,14,population,individuals encountered during the random sampling described in Kuris et al. (2008),4208.21,6084.92721,4.00039866,21.266497,33.706846,4.00042567,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Osteichthyes,,Cyprinodontiformes,,,,Fundulidae,Fundulus,parvipinnis,
BSQ,168,122,1,adult,122.1,Long-jawed Mudsucker,fish,taxon,Species,,feeding,free-living,free-living,predator,,low,resident,,14.6745179,11.2546863,7,population,individuals encountered during the random sampling described in Kuris et al. (2008),72.8,68.8604635,7,1.0703675,1.12204057,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Osteichthyes,,Perciformes,,,,Gobiidae,Gillichthys,mirabilis,
BSQ,171,125,1,adult,125.1,Diamond Turbot,fish,taxon,Species,,feeding,free-living,free-living,predator,,intermediate,resident,,9.4766825,129.282907,3,population,individuals encountered during the random sampling described in Kuris et al. (2008),102.22,171.90803,4.00000135,0.9518263,2.03864704,4.00000404,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Osteichthyes,,Pleuronectiformes,,,,Plueronectidae,Hypsopsetta,guttulata,
BSQ,174,128,1,adult,128.1,Mullet,fish,taxon,Species,,feeding,free-living,free-living,predator,,intermediate,resident,,125.615614,171.393108,4,population,individuals encountered during the random sampling described in Kuris et al. (2008),9.57,8.89123657,7,1.201841,2.58561466,7,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Osteichthyes,,Mugiliformes,,,,Mugilidae,Mugil,cephalus,
BSQ,176,130,1,adult,130.1,Sicklefin Smoothhound,elasmobranch,taxon,Species,,feeding,free-living,free-living,predator,,high,resident,,1256.2238,,,species,applied L to W regressions (FishBase) to estimates on general L of species in estuaries,,,,0.0764221,,,"quantification, limited sampling",body weight multiplied by abundance estimates from Rosales Casi n (1997),Animalia,Chordata,Vertebrata,,Chondrichthyes,,Carcharhiniformes,,,,Triakidae,Mustelus,lunulatus,
BSQ,177,131,1,adult,131.1,California Bat Ray,elasmobranch,taxon,Species,,feeding,free-living,free-living,predator,,high,resident,,353.273946,,,species,applied L to W regressions (FishBase) to estimates on general L of species in estuaries,,,,0.0859654,,,"quantification, limited sampling",body weight multiplied by abundance estimates from Rosales Casi n (1997),Animalia,Chordata,Vertebrata,,Chondrichthyes,,Rajiformes,,,,Myliobatidae,Myliobatis,californica,
BSQ,180,134,1,adult,134.1,Thornback Ray,elasmobranch,taxon,Species,,feeding,free-living,free-living,predator,,high,resident,,434.268491,,,species,applied L to W regressions (FishBase) to estimates on general L of species in estuaries,,,,0.4226982,,,"quantification, limited sampling",body weight multiplied by abundance estimates from Rosales Casi n (1997),Animalia,Chordata,Vertebrata,,Chondrichthyes,,Rajiformes,,,,Rhinobatidae,Platyrhinoidis,triseriata,
BSQ,182,136,1,adult,136.1,Shadow Goby,fish,taxon,Species,,feeding,free-living,free-living,predator,,low,resident,,1.39482988,1.15765876,4,population,individuals encountered during the random sampling described in Kuris et al. (2008),1700.09,2110.93717,4,2.3713325,2.59060423,4,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Osteichthyes,,Perciformes,,,,Gobiidae,Quietula,y-cauda,
BSQ,183,137,1,adult,137.1,Shovelnose Guitarfish,elasmobranch,taxon,Species,,feeding,free-living,free-living,predator,,high,resident,,2048,,,species,applied L to W regressions (FishBase) to estimates on general L of species in estuaries,,,,0.373769,,,"quantification, limited sampling",body weight multiplied by abundance estimates from Rosales Casi n (1997),Animalia,Chordata,Vertebrata,,Chondrichthyes,,Rajiformes,,,,Rhinobatidae,Rhinobatos,productus,
BSQ,184,138,1,adult,138.1,Pipefish,fish,taxon,Species,,feeding,free-living,free-living,predator,,low,resident,,0.53749645,0.86581496,4,population,individuals encountered during the random sampling described in Kuris et al. (2008),111.8,154.849562,10.5452091,0.0565924,0.09012922,6.17980982,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Osteichthyes,,Syngnathiformes,,,,Syngnathidae,Syngnathus,leptorhynchus,
BSQ,186,140,1,adult,140.1,Haller's Round Ray,elasmobranch,taxon,Species,,feeding,free-living,free-living,predator,,high,resident,,467.2,,,species,applied L to W regressions (FishBase) to estimates on general L of species in estuaries,,,,1.2126727,,,"quantification, limited sampling",body weight multiplied by abundance estimates from Rosales Casi n (1997),Animalia,Chordata,Vertebrata,,Chondrichthyes,,Rajiformes,,,,Urolophidae,Urolophus,halleri,
BSQ,191,145,1,adult,145.1,American Wigeon,bird,taxon,Species,,feeding,free-living,free-living,predator,,high,migrant,,780,,,species,"literature (generally the Birds of North America series (Poole & Gill, eds 1992-2003) or Sibley 2003)",0.01,0.13764719,22,0.0107948,0.10736481,22,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Aves,,Anseriformes,,,,Anatidae,Anas,americana,
BSQ,192,146,1,adult,146.1,Black-bellied Plover,bird,taxon,Species,,feeding,free-living,free-living,predator,,high,migrant,,225.5,,,species,"literature (generally the Birds of North America series (Poole & Gill, eds 1992-2003) or Sibley 2003)",0.53,1.87452123,22,0.1192151,0.42270454,22,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Aves,,Charadriiformes,,,,Chardridae,Pluvialis,squatarola,
BSQ,193,147,1,adult,147.1,Black-crowned Night Heron,bird,taxon,Species,,feeding,free-living,free-living,predator,,high,migrant,,869.6,,,species,"literature (generally the Birds of North America series (Poole & Gill, eds 1992-2003) or Sibley 2003)",0.16,0.60485083,22,0.1371973,0.52597828,22,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Aves,,Ciconiiformes,,,,Ardeidae,Nycticorax,nycticorax,
BSQ,194,148,1,adult,148.1,Belted Kingfisher,bird,taxon,Species,,feeding,free-living,free-living,predator,,high,migrant,,147.6,,,species,"literature (generally the Birds of North America series (Poole & Gill, eds 1992-2003) or Sibley 2003)",0.01,0.06844717,22,0.0020427,0.0101028,22,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Aves,,Coraciiformes,,,,Alcedinidae,Ceryle,alcyon,
BSQ,198,152,1,adult,152.1,Brant,bird,taxon,Species,,feeding,free-living,free-living,predator,,high,migrant,,1457.5,,,species,"literature (generally the Birds of North America series (Poole & Gill, eds 1992-2003) or Sibley 2003)",1.4,10.2225482,22,2.0413165,14.899364,22,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Aves,,Anseriformes,,,,Anatidae,Branta,bernicla,
BSQ,199,153,1,adult,153.1,Brown Pelican,bird,taxon,Species,,feeding,free-living,free-living,predator,,high,migrant,,3057,,,species,"literature (generally the Birds of North America series (Poole & Gill, eds 1992-2003) or Sibley 2003)",,,,0.0211537,,,"quantification, estuary-wide sampling",Kuris et al. (2008); only present in summer,Animalia,Chordata,Vertebrata,,Aves,,Pelicaniformes,,,,Pelicanidae,Pelecanus,occidentalis,
BSQ,202,156,1,adult,156.1,Cattle Egret,bird,taxon,Species,,feeding,free-living,free-living,predator,,high,migrant,,365.4,,,species,"literature (generally the Birds of North America series (Poole & Gill, eds 1992-2003) or Sibley 2003)",0,0.02752944,22,0.0010114,0.01005926,22,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Aves,,Ciconiiformes,,,,Ardeidae,Bubulcus,ibis,
BSQ,203,157,1,adult,157.1,California Gull,bird,taxon,Species,,feeding,free-living,free-living,predator,,high,migrant,,738,,,species,"literature (generally the Birds of North America series (Poole & Gill, eds 1992-2003) or Sibley 2003)",,,,,,,,,Animalia,Chordata,Vertebrata,,Aves,,Charadriiformes,,,,Laridae,Larus,californicus,
BSQ,204,158,1,adult,158.1,Caspian Tern,bird,taxon,Species,,feeding,free-living,free-living,predator,,high,migrant,,655.5,,,species,"literature (generally the Birds of North America series (Poole & Gill, eds 1992-2003) or Sibley 2003)",0.01,0.04546337,22,0.0054431,0.02980124,22,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Aves,,Charadriiformes,,,,Laridae,Sterna,caspia,
BSQ,206,160,1,adult,160.1,Clapper Rail,bird,taxon,Species,,feeding,free-living,free-living,predator,,high,resident,,289.15,,,species,"literature (generally the Birds of North America series (Poole & Gill, eds 1992-2003) or Sibley 2003)",0.02,0.07140307,22,0.004802,0.0206462,22,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Aves,,Gruiformes,,,,Rallidae,Rallus,longirostrus,
BSQ,208,162,1,adult,162.1,Common Loon,bird,taxon,Species,,feeding,free-living,free-living,predator,,high,migrant,,4100,,,species,"literature (generally the Birds of North America series (Poole & Gill, eds 1992-2003) or Sibley 2003)",0,0.02752944,22,0.0113484,0.1128707,22,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Aves,,Gaviidormes,,,,Gaviidae,Gavia,immer,
BSQ,209,163,1,adult,163.1,Double-crested Cormorant,bird,taxon,Species,,feeding,free-living,free-living,predator,,high,resident,,2254.5,,,species,"literature (generally the Birds of North America series (Poole & Gill, eds 1992-2003) or Sibley 2003)",0.02,0.14590839,22,0.0436817,0.32895046,22,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Aves,,Pelicaniformes,,,,Pelicanidae,Phalacrocorax,penicillatus,
BSQ,210,164,1,adult,164.1,Dunlin,bird,taxon,Species,,feeding,free-living,free-living,predator,,high,migrant,,51.45,,,species,"literature (generally the Birds of North America series (Poole & Gill, eds 1992-2003) or Sibley 2003)",0.62,3.66173526,22,0.0317572,0.18839628,22,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Aves,,Charadriiformes,,,,Scolopacidae,Calidris,alpina,
BSQ,211,165,1,adult,165.1,Eared Grebe,bird,taxon,Species,,feeding,free-living,free-living,predator,,high,migrant,,397.5,,,species,"literature (generally the Birds of North America series (Poole & Gill, eds 1992-2003) or Sibley 2003)",0.01,0.0858604,22,0.004401,0.03412951,22,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Aves,,Podicipediformes,,,,Podicipedidae,Podiceps,nigricollis,
BSQ,212,166,1,adult,166.1,Elegant Tern,bird,taxon,Species,,feeding,free-living,free-living,predator,,high,migrant,,219,,,species,"literature (generally the Birds of North America series (Poole & Gill, eds 1992-2003) or Sibley 2003)",0.03,0.24818171,22,0.0066679,0.0543518,22,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Aves,,Charadriiformes,,,,Laridae,Sterna,elegans,
BSQ,213,167,1,adult,167.1,Forster's Tern,bird,taxon,Species,,feeding,free-living,free-living,predator,,high,migrant,,158,,,species,"literature (generally the Birds of North America series (Poole & Gill, eds 1992-2003) or Sibley 2003)",0.03,0.11167097,22,0.0048106,0.01764401,22,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Aves,,Charadriiformes,,,,Laridae,Sterna,forsteri,
BSQ,214,168,1,adult,168.1,Great Blue Heron,bird,taxon,Species,,feeding,free-living,free-living,predator,,high,migrant,,2400,,,species,"literature (generally the Birds of North America series (Poole & Gill, eds 1992-2003) or Sibley 2003)",0.07,0.18373803,22,0.1727173,0.44097127,22,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Aves,,Ciconiiformes,,,,Ardeidae,Ardea,herodius,
BSQ,215,169,1,adult,169.1,Great Egret,bird,taxon,Species,,feeding,free-living,free-living,predator,,high,migrant,,873.5,,,species,"literature (generally the Birds of North America series (Poole & Gill, eds 1992-2003) or Sibley 2003)",0.13,0.31846002,22,0.1112172,0.27817483,22,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Aves,,Ciconiiformes,,,,Ardeidae,Egretta,alba,
BSQ,217,171,1,adult,171.1,Greater Scaup,bird,taxon,Species,,feeding,free-living,free-living,predator,,high,migrant,,970,,,species,"literature (generally the Birds of North America series (Poole & Gill, eds 1992-2003) or Sibley 2003)",0.01,0.05505888,22,0.0053697,0.05340711,22,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Aves,,Anseriformes,,,,Anatidae,Athya,marila,
BSQ,218,172,1,adult,172.1,Greater Yellowlegs,bird,taxon,Species,,feeding,free-living,free-living,predator,,high,migrant,,165,,,species,"literature (generally the Birds of North America series (Poole & Gill, eds 1992-2003) or Sibley 2003)",0.05,0.17192129,22,0.0086774,0.02836701,22,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Aves,,Charadriiformes,,,,Scolopacidae,Tringa,melanoleuca,
BSQ,221,175,1,adult,175.1,Long-billed Curlew,bird,taxon,Species,,feeding,free-living,free-living,predator,,high,migrant,,754.5,,,species,"literature (generally the Birds of North America series (Poole & Gill, eds 1992-2003) or Sibley 2003)",0.14,0.35817136,22,0.1065076,0.27024029,22,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Aves,,Charadriiformes,,,,Scolopacidae,Numenius,americanus,
BSQ,222,176,1,adult,176.1,Long-billed Dowitcher,bird,taxon,Species,,feeding,free-living,free-living,predator,,high,migrant,,104.5,,,species,"literature (generally the Birds of North America series (Poole & Gill, eds 1992-2003) or Sibley 2003)",0.03,0.11136206,22,0.0028925,0.01163734,22,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Aves,,Charadriiformes,,,,Scolopacidae,Limnodromus,scilopaceus,
BSQ,224,178,1,adult,178.1,Least Sandpiper,bird,taxon,Species,,feeding,free-living,free-living,predator,,high,migrant,,20.9,,,species,"literature (generally the Birds of North America series (Poole & Gill, eds 1992-2003) or Sibley 2003)",1.7,3.71415625,22,0.0355194,0.07762587,22,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Aves,,Charadriiformes,,,,Scolopacidae,Calidris,minutilla,
BSQ,225,179,1,adult,179.1,Lesser Scaup,bird,taxon,Species,,feeding,free-living,free-living,predator,,high,migrant,,773.5,,,species,"literature (generally the Birds of North America series (Poole & Gill, eds 1992-2003) or Sibley 2003)",0.04,0.38541215,22,0.0299737,0.29811629,22,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Aves,,Anseriformes,,,,Anatidae,Athya,affinis,
BSQ,227,181,1,adult,181.1,Marbled Godwit,bird,taxon,Species,,feeding,free-living,free-living,predator,,high,migrant,,367.5,,,species,"literature (generally the Birds of North America series (Poole & Gill, eds 1992-2003) or Sibley 2003)",5.18,20.6221242,22,1.9052255,7.57863063,22,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Aves,,Charadriiformes,,,,Scolopacidae,Limosa,fedoa,
BSQ,231,185,1,adult,185.1,Northern Pintail,bird,taxon,Species,,feeding,free-living,free-living,predator,,high,migrant,,946.5,,,species,"literature (generally the Birds of North America series (Poole & Gill, eds 1992-2003) or Sibley 2003)",0.04,0.20998632,22,0.0340577,0.19875205,22,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Aves,,Anseriformes,,,,Anatidae,Anas,acuta,
BSQ,232,186,1,adult,186.1,Osprey,bird,taxon,Species,,feeding,free-living,free-living,predator,,high,migrant,,1650,,,species,"literature (generally the Birds of North America series (Poole & Gill, eds 1992-2003) or Sibley 2003)",0.01,0.05505888,22,0.0091341,0.09084715,22,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Aves,,Falconiformes,,,,Accipitridae,Pandion,haliaetus,
BSQ,233,187,1,adult,187.1,Pied-billed Grebe,bird,taxon,Species,,feeding,free-living,free-living,predator,,high,migrant,,416,,,species,"literature (generally the Birds of North America series (Poole & Gill, eds 1992-2003) or Sibley 2003)",0.01,0.04546337,22,0.0034544,0.01891276,22,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Aves,,Podicipediformes,,,,Podicipedidae,Podilymbus,podiceps,
BSQ,234,188,1,adult,188.1,Pectoral Sandpiper,bird,taxon,Species,,feeding,free-living,free-living,predator,,high,migrant,,60.85,,,species,"literature (generally the Birds of North America series (Poole & Gill, eds 1992-2003) or Sibley 2003)",0.01,0.0604281,22,0.0005053,0.00367705,22,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Aves,,Charadriiformes,,,,Scolopacidae,Calidris,melanotus,
BSQ,235,189,1,adult,189.1,Ring-billed Gull,bird,taxon,Species,,feeding,free-living,free-living,predator,,high,migrant,,518.5,,,species,"literature (generally the Birds of North America series (Poole & Gill, eds 1992-2003) or Sibley 2003)",0.01,0.04546337,22,0.0043055,0.02357276,22,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Aves,,Charadriiformes,,,,Laridae,Larus,delawarensis,
BSQ,236,190,1,adult,190.1,Red-breasted Merganser,bird,taxon,Species,,feeding,free-living,free-living,predator,,high,migrant,,1040.5,,,species,"literature (generally the Birds of North America series (Poole & Gill, eds 1992-2003) or Sibley 2003)",0.03,0.11855397,22,0.0316801,0.12335541,22,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Aves,,Anseriformes,,,,Anatidae,Mergus,serrator,
BSQ,237,191,1,adult,191.1,Reddish Egret,bird,taxon,Species,,feeding,free-living,free-living,predator,,high,resident,,613.5,,,species,"literature (generally the Birds of North America series (Poole & Gill, eds 1992-2003) or Sibley 2003)",0.02,0.09280172,22,0.0118868,0.05693386,22,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Aves,,Ciconiiformes,,,,Ardeidae,Egretta,rufescens,
BSQ,238,192,1,adult,192.1,Red Knot,bird,taxon,Species,,feeding,free-living,free-living,predator,,high,migrant,,136,,,species,"literature (generally the Birds of North America series (Poole & Gill, eds 1992-2003) or Sibley 2003)",0.01,0.11011776,22,0.0015057,0.01497601,22,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Aves,,Charadriiformes,,,,Scolopacidae,Calidris,canutus,
BSQ,239,193,1,adult,193.1,Royal Tern,bird,taxon,Species,,feeding,free-living,free-living,predator,,high,migrant,,345,,,species,"literature (generally the Birds of North America series (Poole & Gill, eds 1992-2003) or Sibley 2003)",0.01,0.05505888,22,0.0019099,0.01899531,22,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Aves,,Charadriiformes,,,,Laridae,Sterna,maxima,
BSQ,242,196,1,adult,196.1,Short-billed Dowitcher,bird,taxon,Species,,feeding,free-living,free-living,predator,,high,migrant,,110,,,species,"literature (generally the Birds of North America series (Poole & Gill, eds 1992-2003) or Sibley 2003)",1.41,4.85699059,22,0.1546706,0.53426897,22,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Aves,,Charadriiformes,,,,Scolopacidae,Limnodromus,griseus,
BSQ,244,198,1,adult,198.1,Snowy Egret,bird,taxon,Species,,feeding,free-living,free-living,predator,,high,resident,,369,,,species,"literature (generally the Birds of North America series (Poole & Gill, eds 1992-2003) or Sibley 2003)",0.1,0.26024223,22,0.0377902,0.09602938,22,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Aves,,Ciconiiformes,,,,Ardeidae,Egretta,thula,
BSQ,249,203,1,adult,203.1,Tricolored Heron,bird,taxon,Species,,feeding,free-living,free-living,predator,,high,migrant,,415,,,species,"literature (generally the Birds of North America series (Poole & Gill, eds 1992-2003) or Sibley 2003)",0.04,0.10400419,22,0.0149329,0.04316174,22,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Aves,,Ciconiiformes,,,,Ardeidae,Egretta,tricolor,
BSQ,252,206,1,adult,206.1,Western Gull,bird,taxon,Species,,feeding,free-living,free-living,predator,,high,resident,,875,,,species,"literature (generally the Birds of North America series (Poole & Gill, eds 1992-2003) or Sibley 2003)",0.05,0.19072955,22,0.0435945,0.16688835,22,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Aves,,Charadriiformes,,,,Laridae,Larus,occidentalis,
BSQ,253,207,1,adult,207.1,Western Sandpiper,bird,taxon,Species,,feeding,free-living,free-living,predator,,high,migrant,,24.2,,,species,"literature (generally the Birds of North America series (Poole & Gill, eds 1992-2003) or Sibley 2003)",1.04,3.97609183,22,0.0251857,0.09622142,22,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Aves,,Charadriiformes,,,,Scolopacidae,Calidris,mauri,
BSQ,254,208,1,adult,208.1,Whimbrel,bird,taxon,Species,,feeding,free-living,free-living,predator,,high,migrant,,404,,,species,"literature (generally the Birds of North America series (Poole & Gill, eds 1992-2003) or Sibley 2003)",0.02,0.14755182,22,0.0100641,0.05961093,22,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Aves,,Charadriiformes,,,,Scolopacidae,Numenius,phaeopus,
BSQ,255,209,1,adult,209.1,Willet,bird,taxon,Species,,feeding,free-living,free-living,predator,,high,migrant,,270,,,species,"literature (generally the Birds of North America series (Poole & Gill, eds 1992-2003) or Sibley 2003)",1.5,4.89385275,22,0.4058026,1.32134024,22,"quantification, estuary-wide sampling",Kuris et al. (2008),Animalia,Chordata,Vertebrata,,Aves,,Charadriiformes,,,,Scolopacidae,Catoptrophorus,semipalmatus,
