NodeID,SpeciesID,StageID,Stage,Species.StageID,WorkingName,OrganismalGroup,NodeType,Resolution,ResolutionNotes,feeding,Lifestyle(stage),Lifestyle(species),ConsumerStrategy(stage),HabitatAffiliation,Mobility,Residency,NativeStatus,BodySize(g),BodySizeEstimation,BodySizeNotes,BodySizeN,Biomass(g/m^2),BiomassEstimation,BiomassNotes,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Order,Suborder,Infraorder,Superfamily,Family,Genus,SpecificEpithet,NodeNotes
90,57,4,metacercariae or mesocercariae,57.4,Megalodiscus sp.,Trematoda,life stage,Genus,,feeding,infectious,infectious,trophically transmitted parasite,,,,Native,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,Digenea,Echinostomida,,,,Diplodiscidae,Megalodiscus,,
91,58,1,adult,58.1,Echinostoma trivolvis,Trematoda,life stage,Species,,feeding,infectious,infectious,macroparasite,,,,Native,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,Digenea,Echinostomida,Echinostomata,,Echinostomatoidea,Echinostomatidae,Echinostoma,trivolvis,
92,58,2,rediae or sporocyst,58.2,Echinostoma trivolvis,Trematoda,life stage,Species,,feeding,infectious,infectious,parasitic castrator,,,,Native,0.004148981,Population,"Applied average proportional mass of other trematode species (Hoverman et al. In Prep, Bernot and Lamberti 2008, Hechinger et al. 2009) to local host mass frequency distribution. Bodysize includes all clonal rediae in one host.",,0.007122089,Quantification from sampling,Sampling from Preston et al. In Prep.,Animalia,Platyhelminthes,,,Trematoda,Digenea,Echinostomida,Echinostomata,,Echinostomatoidea,Echinostomatidae,Echinostoma,trivolvis,
93,58,3,cercariae,58.3,Echinostoma trivolvis,Trematoda,life stage,Species,,non-feeding,free-living,infectious,non-feeding,,Intermediate,,Native,3.45E-07,Species,Measured volume and applied proportional volume to mass ratio from R. ondatrae (Preston et al. In Prep),,5.21E-05,Quantification from sampling,Sampling from Preston et al. In Prep. Measured daily cercarial output. ,Animalia,Platyhelminthes,,,Trematoda,Digenea,Echinostomida,Echinostomata,,Echinostomatoidea,Echinostomatidae,Echinostoma,trivolvis,
94,58,4,metacercariae or mesocercariae,58.4,Echinostoma trivolvis,Trematoda,life stage,Species,,feeding,infectious,infectious,trophically transmitted parasite,,,,Native,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,Digenea,Echinostomida,Echinostomata,,Echinostomatoidea,Echinostomatidae,Echinostoma,trivolvis,
95,59,1,adult,59.1,Echinostoma sp. ,Trematoda,life stage,Genus,,feeding,infectious,infectious,macroparasite,,,,Native,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,Digenea,Echinostomida,Echinostomata,,Echinostomatoidea,Echinostomatidae,Echinostoma,,
96,59,2,rediae or sporocyst,59.2,Echinostoma sp. ,Trematoda,life stage,Genus,,feeding,infectious,infectious,parasitic castrator,,,,Native,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,Digenea,Echinostomida,Echinostomata,,Echinostomatoidea,Echinostomatidae,Echinostoma,,
97,59,3,cercariae,59.3,Echinostoma sp. ,Trematoda,life stage,Genus,,non-feeding,free-living,infectious,non-feeding,,Intermediate,,Native,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,Digenea,Echinostomida,Echinostomata,,Echinostomatoidea,Echinostomatidae,Echinostoma,,
98,59,4,metacercariae or mesocercariae,59.4,Echinostoma sp. ,Trematoda,life stage,Genus,,feeding,infectious,infectious,trophically transmitted parasite,,,,Native,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,Digenea,Echinostomida,Echinostomata,,Echinostomatoidea,Echinostomatidae,Echinostoma,,
99,60,1,adult,60.1,Halipegus sp. ,Trematoda,life stage,Genus,,feeding,infectious,infectious,macroparasite,,,,Native,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,Digenea,Azgiida,,,,Hemiuridae,Halipegus,,
100,60,2,rediae or sporocyst,60.2,Halipegus sp. ,Trematoda,life stage,Genus,,feeding,infectious,infectious,parasitic castrator,,,,Native,0.004148981,Population,"Applied average proportional mass of other trematode species (Hoverman et al. In Prep, Bernot and Lamberti 2008, Hechinger et al. 2009) to local host mass frequency distribution. Bodysize includes all clonal rediae in one host.",,0.002848875,Quantification from sampling,Sampling from Preston et al. In Prep.,Animalia,Platyhelminthes,,,Trematoda,Digenea,Azgiida,,,,Hemiuridae,Halipegus,,
101,60,3,cercariae,60.3,Halipegus sp. ,Trematoda,life stage,Genus,,non-feeding,free-living,infectious,non-feeding,,Intermediate,,Native,0.000000053,Species,Measured volume and applied proportional volume to mass ratio from R. ondatrae (Preston et al. In Prep),,6.04E-05,Quantification from sampling,Sampling from Preston et al. In Prep. Measured daily cercarial output. ,Animalia,Platyhelminthes,,,Trematoda,Digenea,Azgiida,,,,Hemiuridae,Halipegus,,
102,60,4,metacercariae or mesocercariae,60.4,Halipegus sp. ,Trematoda,life stage,Genus,,feeding,infectious,infectious,trophically transmitted parasite,,,,Native,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,Digenea,Azgiida,,,,Hemiuridae,Halipegus,,
103,61,1,adult,61.1,Alaria sp. ,Trematoda,life stage,Genus,potentially 2 species,feeding,infectious,infectious,macroparasite,,,,Native,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,Digenea,Strigeidida,,,Diplostomoidea,Diplostomatidae,Alaria,,
104,61,2,rediae or sporocyst,61.2,Alaria sp. ,Trematoda,life stage,Genus,potentially 2 species,feeding,infectious,infectious,parasitic castrator,,,,Native,0.004148981,Population,"Applied average proportional mass of other trematode species (Hoverman et al. In Prep, Bernot and Lamberti 2008, Hechinger et al. 2009) to local host mass frequency distribution. Bodysize includes all clonal rediae in one host.",,0.002850251,Quantification from sampling,Sampling from Preston et al. In Prep.,Animalia,Platyhelminthes,,,Trematoda,Digenea,Strigeidida,,,Diplostomoidea,Diplostomatidae,Alaria,,
105,61,3,cercariae,61.3,Alaria sp. ,Trematoda,life stage,Genus,potentially 2 species,non-feeding,free-living,infectious,non-feeding,,Intermediate,,Native,3.48E-08,Species,Measured volume and applied proportional volume to mass ratio from R. ondatrae (Preston et al. In Prep),,1.88E-05,Quantification from sampling,Sampling from Preston et al. In Prep. Measured daily cercarial output. ,Animalia,Platyhelminthes,,,Trematoda,Digenea,Strigeidida,,,Diplostomoidea,Diplostomatidae,Alaria,,
106,61,4,metacercariae or mesocercariae,61.4,Alaria sp. ,Trematoda,life stage,Genus,potentially 2 species,feeding,infectious,infectious,trophically transmitted parasite,,,,Native,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,Digenea,Strigeidida,,,Diplostomoidea,Diplostomatidae,Alaria,,
107,62,1,adult,62.1,Cephalogonimus americanus,Trematoda,life stage,Species,,feeding,infectious,infectious,macroparasite,,,,Native,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,Digenea,Plagiorchiida,,,,Cephalogonimidae,Cephalogonimus,americanus,
108,62,2,rediae or sporocyst,62.2,Cephalogonimus americanus,Trematoda,life stage,Species,,feeding,infectious,infectious,parasitic castrator,,,,Native,0.004148981,Population,"Applied average proportional mass of other trematode species (Hoverman et al. In Prep, Bernot and Lamberti 2008, Hechinger et al. 2009) to local host mass frequency distribution. Bodysize includes all clonal rediae in one host.",,0.030862318,Quantification from sampling,Sampling from Preston et al. In Prep.,Animalia,Platyhelminthes,,,Trematoda,Digenea,Plagiorchiida,,,,Cephalogonimidae,Cephalogonimus,americanus,
109,62,3,cercariae,62.3,Cephalogonimus americanus,Trematoda,life stage,Species,,non-feeding,free-living,infectious,non-feeding,,Intermediate,,Native,2.11E-07,Species,Measured volume and applied proportional volume to mass ratio from R. ondatrae (Preston et al. In Prep),,0.000917138,Quantification from sampling,Sampling from Preston et al. In Prep. Measured daily cercarial output. ,Animalia,Platyhelminthes,,,Trematoda,Digenea,Plagiorchiida,,,,Cephalogonimidae,Cephalogonimus,americanus,
110,62,4,metacercariae or mesocercariae,62.4,Cephalogonimus americanus,Trematoda,life stage,Species,,feeding,infectious,infectious,trophically transmitted parasite,,,,Native,,,,,,,,Animalia,Platyhelminthes,,,Trematoda,Digenea,Plagiorchiida,,,,Cephalogonimidae,Cephalogonimus,americanus,
111,63,1,adult,63.1,Pseudocorynosoma constrictum,Acanthocephala,life stage,Species,,feeding,infectious,infectious,macroparasite,,,,Native,,,,,,,,Animalia,Acanthocephala,,,Palaeacanthocephala,,Polymorphida,,,,Polymorphidae,Pseudocorynosoma,constrictum,
112,63,2,acanthella,63.2,Pseudocorynosoma constrictum,Acanthocephala,life stage,Species,,feeding,infectious,infectious,macroparasite,,,,Native,,,,,,,,Animalia,Acanthocephala,,,Palaeacanthocephala,,Polymorphida,,,,Polymorphidae,Pseudocorynosoma,constrictum,
113,63,3,cystacanth,63.3,Pseudocorynosoma constrictum,Acanthocephala,life stage,Species,,feeding,infectious,infectious,trophically transmitted parasite,,,,Native,,,,,,,,Animalia,Acanthocephala,,,Palaeacanthocephala,,Polymorphida,,,,Polymorphidae,Pseudocorynosoma,constrictum,
